,5_n,5_p,5_l,6_n,6_p,6_l
8082,IGHV3-64,0.8992639725294127,-0.4202278,IGHV3-64,0.8992639725294127,0.4202278
8083,TRMT10A,0.8992639725294127,-0.3181008,TRMT10A,0.8992639725294127,0.3181008
8084,METAP2,0.8994046043797497,-0.11149267,METAP2,0.8994046043797497,0.11149267
8085,RFXAP,0.8994046043797497,-0.22488394,RFXAP,0.8994046043797497,0.22488394
8086,DROSHA,0.8994046043797497,-0.9329598,DROSHA,0.8994046043797497,0.9329598
8087,DUSP2,0.8994046043797497,-0.018092277,DUSP2,0.8994046043797497,0.018092277
8088,ZNF519,0.8994046043797497,-0.53694004,ZNF519,0.8994046043797497,0.53694004
8089,SLC35G2,0.8994046043797497,-0.54619217,SLC35G2,0.8994046043797497,0.54619217
8090,IGHV3-73,0.8996155580763473,-0.40775704,IGHV3-73,0.8996155580763473,0.40775704
8091,B3GALT4,0.8996507177156984,0.04257085,B3GALT4,0.8996507177156984,-0.04257085
8092,FASTKD1,0.8996858775519868,-0.27241483,FASTKD1,0.8996858775519868,0.27241483
8093,CEP57L1,0.8996858775519868,-0.46779153,CEP57L1,0.8996858775519868,0.46779153
8094,FCRLB,0.8996858775519868,-0.9214673,FCRLB,0.8996858775519868,0.9214673
8095,UNC5CL,0.899756197815103,-0.3110564,UNC5CL,0.899756197815103,0.3110564
8096,CRYBB1,0.8999671633238495,0.35373992,CRYBB1,0.8999671633238495,-0.35373992
8097,CCDC144A,0.8999671633238495,-0.22898728,CCDC144A,0.8999671633238495,0.22898728
8098,KCTD5,0.8999671633238495,-0.09012775,KCTD5,0.8999671633238495,0.09012775
8099,TM9SF4,0.9000023249295026,-0.2143863,TM9SF4,0.9000023249295026,0.2143863
8100,ZWILCH,0.9001078109237172,-1.1152602,ZWILCH,0.9001078109237172,1.1152602
8101,HSPH1,0.9001078109237172,-0.09631867,HSPH1,0.9001078109237172,0.09631867
8102,TNFAIP2,0.9001429733139794,-0.42379725,TNFAIP2,0.9001429733139794,0.42379725
8103,NFE2L3,0.9001781359002233,-0.5590402,NFE2L3,0.9001781359002233,0.5590402
8104,PRPF3,0.9002132986823805,-0.25956532,PRPF3,0.9002132986823805,0.25956532
8105,HSF2,0.9002484616603827,-0.3021755,HSF2,0.9002484616603827,0.3021755
8106,C2CD2L,0.9002484616603827,-0.13088839,C2CD2L,0.9002484616603827,0.13088839
8107,MAP2K7,0.9002836248341617,-0.27041236,MAP2K7,0.9002836248341617,0.27041236
8108,AGBL5,0.9003187882036492,0.08919413,AGBL5,0.9003187882036492,-0.08919413
8109,PTPMT1,0.9003187882036492,-0.04208561,PTPMT1,0.9003187882036492,0.04208561
8110,RPP38,0.9003539517687768,-0.14177382,RPP38,0.9003539517687768,0.14177382
8111,METTL22,0.9003539517687768,-0.40941364,METTL22,0.9003539517687768,0.40941364
8112,UBQLN4,0.900529772526627,-0.27561578,UBQLN4,0.900529772526627,0.27561578
8113,NEIL2,0.900529772526627,-0.3924206,NEIL2,0.900529772526627,0.3924206
8114,RNF141,0.900529772526627,0.015374459,RNF141,0.900529772526627,-0.015374459
8115,MDM4,0.9006001021968582,-0.041626826,MDM4,0.9006001021968582,0.041626826
8116,SEC23IP,0.9006352673246486,-0.31591153,SEC23IP,0.9006352673246486,0.31591153
8117,RP4-614C10.2,0.9006704326474646,-0.015747333,RP4-614C10.2,0.9006704326474646,0.015747333
8118,RABGAP1L,0.9006704326474646,-0.14192356,RABGAP1L,0.9006704326474646,0.14192356
8119,STAU2,0.9007407638778999,-0.21793148,STAU2,0.9007407638778999,0.21793148
8120,MIGA1,0.9008110958876179,-0.35206297,MIGA1,0.9008110958876179,0.35206297
8121,NDC1,0.9008110958876179,-0.009884384,NDC1,0.9008110958876179,0.009884384
8122,SLC31A1,0.9009517622427156,0.22397822,SLC31A1,0.9009517622427156,-0.22397822
8123,TGIF2,0.9009517622427156,-0.15020245,TGIF2,0.9009517622427156,0.15020245
8124,VDR,0.9009517622427156,-0.30769798,VDR,0.9009517622427156,0.30769798
8125,LRPPRC,0.9010220965870025,-0.025870731,LRPPRC,0.9010220965870025,0.025870731
8126,CAD,0.9010220965870025,0.0035230364,CAD,0.9010220965870025,-0.0035230364
8127,CCNT2,0.9010572640505914,-0.085203536,CCNT2,0.9010572640505914,0.085203536
8128,POLD4,0.9010572640505914,-0.12991798,POLD4,0.9010572640505914,0.12991798
8129,MBLAC1,0.9010924317083863,0.17602195,MBLAC1,0.9010924317083863,-0.17602195
8130,FAM45A,0.9011275995603185,-0.103347294,FAM45A,0.9011275995603185,0.103347294
8131,ATP11C,0.9011627676063202,-0.62419957,ATP11C,0.9011627676063202,0.62419957
8132,SPAG9,0.9011627676063202,-0.18010356,SPAG9,0.9011627676063202,0.18010356
8133,CLSPN,0.9012331042802578,0.68689233,CLSPN,0.9012331042802578,-0.68689233
8134,ADPRHL2,0.9013034417296528,0.026127864,ADPRHL2,0.9013034417296528,-0.026127864
8135,S1PR2,0.9013737799539584,0.083673224,S1PR2,0.9013737799539584,-0.083673224
8136,B3GALT6,0.9013737799539584,-0.12418522,B3GALT6,0.9013737799539584,0.12418522
8137,HACD3,0.9014089493565318,-0.16014966,HACD3,0.9014089493565318,0.16014966
8138,PFKM,0.9014441189526281,0.57937765,PFKM,0.9014441189526281,-0.57937765
8139,LINC00094,0.9015144587251153,-0.46387467,LINC00094,0.9015144587251153,0.46387467
8140,PPP5C,0.9015144587251153,-0.2020243,PPP5C,0.9015144587251153,0.2020243
8141,NUDT7,0.9015144587251153,1.1627303,NUDT7,0.9015144587251153,-1.1627303
8142,RP5-1159O4.1,0.9015847992708734,1.0300065,RP5-1159O4.1,0.9015847992708734,-1.0300065
8143,IGHV3-20,0.9015847992708734,0.5572019,IGHV3-20,0.9015847992708734,-0.5572019
8144,SHMT1,0.9015847992708734,-0.18719573,SHMT1,0.9015847992708734,0.18719573
8145,BAP1,0.9016199698335583,-0.14220895,BAP1,0.9016199698335583,0.14220895
8146,C20ORF196,0.9016551405893558,0.19769098,C20ORF196,0.9016551405893558,-0.19769098
8147,PLIN5,0.901725482680016,0.4661486,PLIN5,0.901725482680016,-0.4661486
8148,SFMBT2,0.901725482680016,-0.107100606,SFMBT2,0.901725482680016,0.107100606
8149,GZMA,0.901725482680016,-0.32270586,GZMA,0.901725482680016,0.32270586
8150,ACSL3,0.9018661691756825,-0.35609406,ACSL3,0.9018661691756825,0.35609406
8151,IFIT3,0.9018661691756825,0.7259135,IFIT3,0.9018661691756825,-0.7259135
8152,TEX10,0.9019365135795956,-0.6471803,TEX10,0.9019365135795956,0.6471803
8153,CH507-154B10.1,0.9019365135795956,0.7244102,CH507-154B10.1,0.9019365135795956,-0.7244102
8154,ZNF460,0.9019365135795956,0.7591833,ZNF460,0.9019365135795956,-0.7591833
8155,TMBIM1,0.9019365135795956,-0.31463024,TMBIM1,0.9019365135795956,0.31463024
8156,ARRDC2,0.9020068587534995,0.55616236,ARRDC2,0.9020068587534995,-0.55616236
8157,ZNF28,0.9020068587534995,0.596244,ZNF28,0.9020068587534995,-0.596244
8158,CCNE1,0.9020068587534995,0.025310041,CCNE1,0.9020068587534995,-0.025310041
8159,MIER2,0.9020068587534995,-0.4859669,MIER2,0.9020068587534995,0.4859669
8160,SRCAP,0.9020068587534995,0.746299,SRCAP,0.9020068587534995,-0.746299
8161,SGMS1,0.9020068587534995,0.045922495,SGMS1,0.9020068587534995,-0.045922495
8162,PKIG,0.9020772046968477,-0.10297974,PKIG,0.9020772046968477,0.10297974
8163,TRAPPC9,0.9020772046968477,-0.4044456,TRAPPC9,0.9020772046968477,0.4044456
8164,MOV10,0.9020772046968477,0.7152161,MOV10,0.9020772046968477,-0.7152161
8165,ALDH1B1,0.9020772046968477,-0.59475034,ALDH1B1,0.9020772046968477,0.59475034
8166,ABHD6,0.9021475514090934,0.13515651,ABHD6,0.9021475514090934,-0.13515651
8167,RABL3,0.9021827250533819,-0.052443113,RABL3,0.9021827250533819,0.052443113
8168,CHD1,0.9022178988896897,-0.033879656,CHD1,0.9022178988896897,0.033879656
8169,DLG3,0.9022178988896897,0.2682871,DLG3,0.9022178988896897,-0.2682871
8170,RP11-717K11.2,0.90228824713809,0.71506333,RP11-717K11.2,0.90228824713809,-0.71506333
8171,FANCC,0.90228824713809,0.35243973,FANCC,0.90228824713809,-0.35243973
8172,PSMC1,0.90228824713809,-0.08458178,PSMC1,0.90228824713809,0.08458178
8173,TRIM16L,0.90228824713809,0.43381506,TRIM16L,0.90228824713809,-0.43381506
8174,SLC25A30,0.9024289459361149,-0.22440566,SLC25A30,0.9024289459361149,0.22440566
8175,RLN2,0.902499296484646,0.5321549,RLN2,0.902499296484646,-0.5321549
8176,TRIP13,0.902499296484646,0.4700029,TRIP13,0.902499296484646,-0.4700029
8177,AKR1D1,0.9025696477987936,0.11268215,AKR1D1,0.9025696477987936,-0.11268215
8178,SLC20A2,0.9026048237428027,0.93754977,SLC20A2,0.9026048237428027,-0.93754977
8179,C11ORF68,0.9026048237428027,-0.17906362,C11ORF68,0.9026048237428027,0.17906362
8180,AC009299.3,0.9026048237428027,0.49447763,AC009299.3,0.9026048237428027,-0.49447763
8181,SPATA5L1,0.9026399998780109,-0.6919386,SPATA5L1,0.9026399998780109,0.6919386
8182,FBXO5,0.9026399998780109,-0.45721778,FBXO5,0.9026399998780109,0.45721778
8183,LRCH1,0.9027103527217512,-0.045480028,LRCH1,0.9027103527217512,0.045480028
8184,C2,0.9027455294301463,0.25725263,C2,0.9027455294301463,-0.25725263
8185,ZNF107,0.9027455294301463,-0.10799015,ZNF107,0.9027455294301463,0.10799015
8186,SLC25A33,0.9027807063294672,-0.17782189,SLC25A33,0.9027807063294672,0.17782189
8187,CABLES1,0.9028158834196452,-0.18553343,CABLES1,0.9028158834196452,0.18553343
8188,SEMA7A,0.9029214158346394,-1.6011493,SEMA7A,0.9029214158346394,1.6011493
8189,ARHGAP42,0.9029917717310015,-0.13474225,ARHGAP42,0.9029917717310015,0.13474225
8190,CDCA3,0.9030621283891518,0.50103235,CDCA3,0.9030621283891518,-0.50103235
8191,LAMP3,0.9030621283891518,-1.6312945,LAMP3,0.9030621283891518,1.6312945
8192,RPGR,0.9031324858085431,-0.39025992,RPGR,0.9031324858085431,0.39025992
8193,IRF2BPL,0.9032028439886286,0.22374743,IRF2BPL,0.9032028439886286,-0.22374743
8194,POU5F2,0.9032028439886286,-0.26238382,POU5F2,0.9032028439886286,0.26238382
8195,PHAX,0.903273202928861,-0.11315706,PHAX,0.903273202928861,0.11315706
8196,CTH,0.903273202928861,-0.56995153,CTH,0.903273202928861,0.56995153
8197,SS18L1,0.903273202928861,-0.73889893,SS18L1,0.903273202928861,0.73889893
8198,SOCS5,0.9033787427632887,0.17425807,SOCS5,0.9033787427632887,-0.17425807
8199,ORC2,0.9034139230875788,-0.6523241,ORC2,0.9034139230875788,0.6523241
8200,RP1-292L20.3,0.90348428430497,-0.2932458,RP1-292L20.3,0.90348428430497,0.2932458
8201,ZSWIM3,0.90348428430497,-1.3891957,ZSWIM3,0.90348428430497,1.3891957
8202,KIAA1024,0.90348428430497,-1.2128808,KIAA1024,0.90348428430497,1.2128808
8203,MIR181A1HG,0.90348428430497,-0.22432502,MIR181A1HG,0.90348428430497,0.22432502
8204,TAGLN,0.9036250090130814,-1.3601403,TAGLN,0.9036250090130814,1.3601403
8205,ZC3HC1,0.9036953725027073,-0.18331228,ZC3HC1,0.9036953725027073,0.18331228
8206,DEGS2,0.9036953725027073,-1.3822439,DEGS2,0.9036953725027073,1.3822439
8207,AF127936.5,0.9036953725027073,-1.1049193,AF127936.5,0.9036953725027073,1.1049193
8208,ZHX1,0.9037657367486505,-0.2278685,ZHX1,0.9037657367486505,0.2278685
8209,ZNF10,0.9037657367486505,-0.87022465,ZNF10,0.9037657367486505,0.87022465
8210,RP11-1348G14.4,0.9038361017503638,-0.3453089,RP11-1348G14.4,0.9038361017503638,0.3453089
8211,ACTR3B,0.9039064675073001,-0.7042893,ACTR3B,0.9039064675073001,0.7042893
8212,SLC27A4,0.9040472012846524,-0.51572126,SLC27A4,0.9040472012846524,0.51572126
8213,CSRP1,0.9040472012846524,-0.049032528,CSRP1,0.9040472012846524,0.049032528
8214,TMED1,0.9040472012846524,0.013407552,TMED1,0.9040472012846524,-0.013407552
8215,USF1,0.9041879380763296,-0.7492756,USF1,0.9041879380763296,0.7492756
8216,VNN2,0.9042583076011719,-0.74783856,VNN2,0.9042583076011719,0.74783856
8217,XKR6,0.9042934926456044,-0.23977998,XKR6,0.9042934926456044,0.23977998
8218,MAN2C1,0.9042934926456044,0.040869564,MAN2C1,0.9042934926456044,-0.040869564
8219,NHSL2,0.9043286778779535,-0.91058975,NHSL2,0.9043286778779535,0.91058975
8220,EBF1,0.9043286778779535,-0.033490952,EBF1,0.9043286778779535,0.033490952
8221,MIER3,0.9043638632981504,0.2198756,MIER3,0.9043638632981504,-0.2198756
8222,PLTP,0.9044694206851454,-0.25417694,PLTP,0.9044694206851454,0.25417694
8223,LRP8,0.9044694206851454,-1.1228796,LRP8,0.9044694206851454,1.1228796
8224,CCDC122,0.9044694206851454,-0.9823362,CCDC122,0.9044694206851454,0.9823362
8225,NRIP1,0.9045046068560503,0.19457753,NRIP1,0.9045046068560503,-0.19457753
8226,NUP62CL,0.9045046068560503,0.18830085,NUP62CL,0.9045046068560503,-0.18830085
8227,BACH2,0.9045397932144611,-0.70397115,BACH2,0.9045397932144611,0.70397115
8228,FBRS,0.9045749797603094,-0.30773783,FBRS,0.9045749797603094,0.30773783
8229,HSPA1L,0.9046101664935268,-0.17033626,HSPA1L,0.9046101664935268,0.17033626
8230,C2ORF47,0.9046101664935268,-0.1772282,C2ORF47,0.9046101664935268,0.1772282
8231,C11ORF65,0.9046101664935268,-0.23897268,C11ORF65,0.9046101664935268,0.23897268
8232,ZNF790,0.9046453534140447,0.06141099,ZNF790,0.9046453534140447,-0.06141099
8233,SWT1,0.904680540521795,0.021441652,SWT1,0.904680540521795,-0.021441652
8234,ZBTB7B,0.9047509152987183,-0.46504033,ZBTB7B,0.9047509152987183,0.46504033
8235,TRMU,0.9047509152987183,-0.5227655,TRMU,0.9047509152987183,0.5227655
8236,MFSD14B,0.9048212908237495,-0.072775744,MFSD14B,0.9048212908237495,0.072775744
8237,RFX3,0.9048564788666345,0.26638305,RFX3,0.9048564788666345,-0.26638305
8238,PRRC2A,0.904891667096341,-0.08383622,PRRC2A,0.904891667096341,0.08383622
8239,EIF2AK3,0.9049972329057061,-0.21705276,EIF2AK3,0.9049972329057061,0.21705276
8240,CYB561D1,0.9050676110448032,-0.0753921,CYB561D1,0.9050676110448032,0.0753921
8241,ARHGEF40,0.9051379899295443,-1.0578936,ARHGEF40,0.9051379899295443,1.0578936
8242,JOSD1,0.9051731796513602,-0.38256165,JOSD1,0.9051731796513602,0.38256165
8243,DENND1A,0.905208369559382,-0.017100226,DENND1A,0.905208369559382,0.017100226
8244,PPARGC1B,0.905208369559382,0.013573273,PPARGC1B,0.905208369559382,-0.013573273
8245,JRKL,0.905243559653541,0.6879732,JRKL,0.905243559653541,-0.6879732
8246,RAF1,0.9053139403999969,-0.079655185,RAF1,0.9053139403999969,0.079655185
8247,SPATA5,0.905349131052157,-0.07424508,SPATA5,0.905349131052157,0.07424508
8248,MOCS2,0.905349131052157,-0.28747433,MOCS2,0.905349131052157,0.28747433
8249,POGZ,0.9054547041235443,-0.01618256,POGZ,0.9054547041235443,0.01618256
8250,CNOT1,0.9054898955187476,-0.07517809,CNOT1,0.9054898955187476,0.07517809
8251,AMMECR1L,0.9054898955187476,-0.7913183,AMMECR1L,0.9054898955187476,0.7913183
8252,PARP10,0.9055250870995406,-0.16754961,PARP10,0.9055250870995406,0.16754961
8253,METTL21A,0.9055602788658548,0.04498657,METTL21A,0.9055602788658548,-0.04498657
8254,GRPEL1,0.9055602788658548,-0.021063564,GRPEL1,0.9055602788658548,0.021063564
8255,AC007386.2,0.9055954708176217,-0.5228755,AC007386.2,0.9055954708176217,0.5228755
8256,LRR1,0.9056658552772401,-0.32491866,LRR1,0.9056658552772401,0.32491866
8257,RNF2,0.905806626418898,-0.068269834,RNF2,0.905806626418898,0.068269834
8258,CBX6,0.9059474005201329,-0.041232355,CBX6,0.9059474005201329,0.041232355
8259,HSPBP1,0.9060177886792224,-0.07211071,HSPBP1,0.9060177886792224,0.07211071
8260,GZF1,0.906088177576563,-0.4934216,GZF1,0.906088177576563,0.4934216
8261,GOLGA6L10,0.906088177576563,1.3484731,GOLGA6L10,0.906088177576563,-1.3484731
8262,RP5-1098D14.1,0.906088177576563,1.4427578,RP5-1098D14.1,0.906088177576563,-1.4427578
8263,CENPH,0.906088177576563,0.014494794,CENPH,0.906088177576563,-0.014494794
8264,SKA2,0.9061585672116068,-0.096739136,SKA2,0.9061585672116068,0.096739136
8265,UBAP2,0.9061937623055963,-0.08955016,UBAP2,0.9061937623055963,0.08955016
8266,ZDHHC17,0.9062289575838063,-0.3153,ZDHHC17,0.9062289575838063,0.3153
8267,HIST2H4B,0.9063697405374804,0.9924604,HIST2H4B,0.9063697405374804,-0.9924604
8268,LAMTOR3,0.9064401331178595,0.10450401,LAMTOR3,0.9064401331178595,-0.10450401
8269,SCRN1,0.906510526433203,0.012276377,SCRN1,0.906510526433203,-0.012276377
8270,C18ORF25,0.906510526433203,0.17804028,C18ORF25,0.906510526433203,-0.17804028
8271,ZNF45,0.9065809204829627,0.75229084,ZNF45,0.9065809204829627,-0.75229084
8272,ULK3,0.906651315266591,-0.3215752,ULK3,0.906651315266591,0.3215752
8273,RASSF3,0.9066865129334346,-0.58580947,RASSF3,0.9066865129334346,0.58580947
8274,NPTN,0.9066865129334346,-0.5848623,NPTN,0.9066865129334346,0.5848623
8275,RP11-326I11.4,0.9066865129334346,-0.62849945,RP11-326I11.4,0.9066865129334346,0.62849945
8276,AP4M1,0.9067921070332614,-0.44434133,AP4M1,0.9067921070332614,0.44434133
8277,LINC01588,0.9068273054327408,-0.5036256,LINC01588,0.9068273054327408,0.5036256
8278,CDC45,0.9068625040152078,0.9254952,CDC45,0.9068625040152078,-0.9254952
8279,NRDE2,0.90696810085985,-0.0038640352,NRDE2,0.90696810085985,0.0038640352
8280,ACP5,0.9070033001735829,-0.08854947,ACP5,0.9070033001735829,0.08854947
8281,MINPP1,0.9070033001735829,-0.17904927,MINPP1,0.9070033001735829,0.17904927
8282,SNAPC2,0.907038499669961,-0.32154316,SNAPC2,0.907038499669961,0.32154316
8283,CXCR3,0.9070736993489157,-0.27673063,CXCR3,0.9070736993489157,0.27673063
8284,PARP4,0.9070736993489157,-0.3803353,PARP4,0.9070736993489157,0.3803353
8285,LAMA5,0.9070736993489157,0.13607718,LAMA5,0.9070736993489157,-0.13607718
8286,TNIK,0.9070736993489157,0.7350255,TNIK,0.9070736993489157,-0.7350255
8287,ZNRF2,0.9071088992103786,-0.5153364,ZNRF2,0.9071088992103786,0.5153364
8288,RPAP1,0.9071088992103786,-0.7035205,RPAP1,0.9071088992103786,0.7035205
8289,SMG9,0.9071440992542814,-0.14900488,SMG9,0.9071440992542814,0.14900488
8290,SNX6,0.9071440992542814,-0.17094417,SNX6,0.9071440992542814,0.17094417
8291,DUSP12,0.9071792994805553,-0.017796211,DUSP12,0.9071792994805553,0.017796211
8292,ZBTB32,0.9072144998891318,-0.2114667,ZBTB32,0.9072144998891318,0.2114667
8293,ZNF510,0.9072497004799427,-0.3456932,ZNF510,0.9072497004799427,0.3456932
8294,ZNF584,0.9072849012529192,0.4544039,ZNF584,0.9072849012529192,-0.4544039
8295,CNTROB,0.9072849012529192,0.37763798,CNTROB,0.9072849012529192,-0.37763798
8296,TBCE,0.9072849012529192,-0.23869337,TBCE,0.9072849012529192,0.23869337
8297,EPOR,0.9072849012529192,-0.6803113,EPOR,0.9072849012529192,0.6803113
8298,RUSC1,0.9073553033450952,0.0007905126,RUSC1,0.9073553033450952,-0.0007905126
8299,POLR3B,0.9073905046641577,-0.50575995,POLR3B,0.9073905046641577,0.50575995
8300,ZNF71,0.907425706165112,0.42540342,ZNF71,0.907425706165112,-0.42540342
8301,TMEM164,0.907425706165112,0.47816572,TMEM164,0.907425706165112,-0.47816572
8302,RAP2C,0.907425706165112,-0.12033395,RAP2C,0.907425706165112,0.12033395
8303,CTD-2357A8.3,0.9074961097124212,0.36536357,CTD-2357A8.3,0.9074961097124212,-0.36536357
8304,AP001258.4,0.9075313117586393,-0.5536717,AP001258.4,0.9075313117586393,0.5536717
8305,RP11-582E3.6,0.907566513986475,0.28943977,RP11-582E3.6,0.907566513986475,-0.28943977
8306,SCYL2,0.9076369189867252,-0.4180589,SCYL2,0.9076369189867252,0.4180589
8307,TLCD2,0.9076369189867252,0.2972386,TLCD2,0.9076369189867252,-0.2972386
8308,PIGN,0.9077073247126236,-0.5593549,PIGN,0.9077073247126236,0.5593549
8309,PDGFD,0.907777731163622,0.40060014,PDGFD,0.907777731163622,-0.40060014
8310,TMEM97,0.9078129346608624,0.14890443,TMEM97,0.9078129346608624,-0.14890443
8311,ZNF782,0.9078481383391723,0.033501085,ZNF782,0.9078481383391723,-0.033501085
8312,PRUNE1,0.9079185462387264,-0.56201744,PRUNE1,0.9079185462387264,0.56201744
8313,KIF3A,0.9079185462387264,-0.2656742,KIF3A,0.9079185462387264,0.2656742
8314,MTPAP,0.9079185462387264,-0.33377218,MTPAP,0.9079185462387264,0.33377218
8315,SCARNA2,0.9079185462387264,-0.2079415,SCARNA2,0.9079185462387264,0.2079415
8316,DSE,0.9079889548617359,0.29382208,DSE,0.9079889548617359,-0.29382208
8317,MAST2,0.9079889548617359,0.2807739,MAST2,0.9079889548617359,-0.2807739
8318,TMEM237,0.9079889548617359,0.11115479,TMEM237,0.9079889548617359,-0.11115479
8319,PLOD3,0.9080241594443652,-0.019972809,PLOD3,0.9080241594443652,0.019972809
8320,ZNF691,0.9080593642076528,0.07704094,ZNF691,0.9080593642076528,-0.07704094
8321,KBTBD6,0.90809456915153,-0.40280253,KBTBD6,0.90809456915153,0.40280253
8322,METTL21B,0.9082001850660152,0.4269879,METTL21B,0.9082001850660152,-0.4269879
8323,KIAA1524,0.9082001850660152,-0.16646095,KIAA1524,0.9082001850660152,0.16646095
8324,ZNF232,0.9082705965773642,0.09077709,ZNF232,0.9082705965773642,-0.09077709
8325,PTCD1,0.9083058026033408,-0.30189872,PTCD1,0.9083058026033408,0.30189872
8326,NBPF19,0.9083410088094276,-0.12374603,NBPF19,0.9083410088094276,0.12374603
8327,ZNF230,0.9084466285076622,-0.070937365,ZNF230,0.9084466285076622,0.070937365
8328,RILP,0.9086226649338562,-0.13108154,RILP,0.9086226649338562,0.13108154
8329,TPTE2,0.9086226649338562,-1.4137453,TPTE2,0.9086226649338562,1.4137453
8330,AF131217.1,0.9086226649338562,-1.4993538,AF131217.1,0.9086226649338562,1.4993538
8331,USP9Y,0.9086226649338562,0.45875958,USP9Y,0.9086226649338562,-0.45875958
8332,ABCA1,0.9086930807612656,0.3200598,ABCA1,0.9086930807612656,-0.3200598
8333,MX2,0.9086930807612656,0.1834969,MX2,0.9086930807612656,-0.1834969
8334,DAPK2,0.9086930807612656,-1.9193923,DAPK2,0.9086930807612656,1.9193923
8335,RXRA,0.9086930807612656,0.08689719,RXRA,0.9086930807612656,-0.08689719
8336,FOSL2,0.9087282889440386,-0.16486533,FOSL2,0.9087282889440386,0.16486533
8337,MRFAP1,0.9087634973060991,-0.031964418,MRFAP1,0.9087634973060991,0.031964418
8338,YTHDC1,0.9088339145678082,-0.086442776,YTHDC1,0.9088339145678082,0.086442776
8339,SLC35E4,0.9088339145678082,-1.4603941,SLC35E4,0.9088339145678082,1.4603941
8340,TPRN,0.9089043325458445,-1.5144382,TPRN,0.9089043325458445,1.5144382
8341,RP11-532F6.3,0.9089043325458445,-1.4707355,RP11-532F6.3,0.9089043325458445,1.4707355
8342,DIAPH2,0.9089043325458445,-1.2948273,DIAPH2,0.9089043325458445,1.2948273
8343,ERMP1,0.9089043325458445,-1.6597282,ERMP1,0.9089043325458445,1.6597282
8344,RAB9B,0.9089747512396597,-1.3641981,RAB9B,0.9089747512396597,1.3641981
8345,C4ORF26,0.9089747512396597,-1.1729419,C4ORF26,0.9089747512396597,1.1729419
8346,ALG1L2,0.9089747512396597,-0.97313756,ALG1L2,0.9089747512396597,0.97313756
8347,SF3A3,0.9090451706487052,-0.1450375,SF3A3,0.9090451706487052,0.1450375
8348,P2RY11,0.9090451706487052,-1.0535122,P2RY11,0.9090451706487052,1.0535122
8349,LACE1,0.9090451706487052,-1.1601678,LACE1,0.9090451706487052,1.1601678
8350,C3ORF70,0.9090451706487052,-1.2021518,C3ORF70,0.9090451706487052,1.2021518
8351,MTSS1,0.9091155907724325,-0.8295338,MTSS1,0.9091155907724325,0.8295338
8352,FAM46A,0.9091155907724325,-1.0121423,FAM46A,0.9091155907724325,1.0121423
8353,AE000662.93,0.9091860116102933,-1.5037888,AE000662.93,0.9091860116102933,1.5037888
8354,SLC22A31,0.9091860116102933,-1.0087582,SLC22A31,0.9091860116102933,1.0087582
8355,TRERF1,0.9091860116102933,-0.8616399,TRERF1,0.9091860116102933,0.8616399
8356,HFE,0.9091860116102933,-1.1477147,HFE,0.9091860116102933,1.1477147
8357,PCGF5,0.909256433161739,-0.2111065,PCGF5,0.909256433161739,0.2111065
8358,IGHV3-53,0.9093268554262209,-0.6511326,IGHV3-53,0.9093268554262209,0.6511326
8359,ZNF630,0.9093268554262209,-0.52258897,ZNF630,0.9093268554262209,0.52258897
8360,BGLAP,0.9093268554262209,-0.8749939,BGLAP,0.9093268554262209,0.8749939
8361,ITCH,0.9093268554262209,-0.36477363,ITCH,0.9093268554262209,0.36477363
8362,PASK,0.9093620668256791,-0.06710972,PASK,0.9093620668256791,0.06710972
8363,SFT2D2,0.9093620668256791,-0.4755163,SFT2D2,0.9093620668256791,0.4755163
8364,CST7,0.9093972784031906,-0.53885174,CST7,0.9093972784031906,0.53885174
8365,LMF1,0.9093972784031906,-0.383848,LMF1,0.9093972784031906,0.383848
8366,GTF2H5,0.909432490158687,-0.0024882392,GTF2H5,0.909432490158687,0.0024882392
8367,RAB29,0.9094677020920996,-0.12308251,RAB29,0.9094677020920996,0.12308251
8368,AVL9,0.9095029142033598,-0.15829374,AVL9,0.9095029142033598,0.15829374
8369,PUS1,0.9095381264923992,0.1928813,PUS1,0.9095381264923992,-0.1928813
8370,DGAT2,0.9095381264923992,-0.6167682,DGAT2,0.9095381264923992,0.6167682
8371,DNAH1,0.9096085516035408,-0.8309225,DNAH1,0.9096085516035408,0.8309225
8372,C9ORF69,0.9096789774249759,0.2267359,C9ORF69,0.9096789774249759,-0.2267359
8373,RRP12,0.9096789774249759,-0.40979233,RRP12,0.9096789774249759,0.40979233
8374,NOCT,0.9096789774249759,-0.44287902,NOCT,0.9096789774249759,0.44287902
8375,MNX1-AS1,0.9097494039561559,-0.530328,MNX1-AS1,0.9097494039561559,0.530328
8376,MAMSTR,0.9097494039561559,-0.3899921,MAMSTR,0.9097494039561559,0.3899921
8377,SLC7A1,0.9097494039561559,-0.1677014,SLC7A1,0.9097494039561559,0.1677014
8378,LANCL1,0.9098198311965319,-0.06526265,LANCL1,0.9098198311965319,0.06526265
8379,LINC00324,0.9098902591455554,-0.38215706,LINC00324,0.9098902591455554,0.38215706
8380,FGFR1OP2,0.9098902591455554,-0.106028646,FGFR1OP2,0.9098902591455554,0.106028646
8381,MIR4458HG,0.9098902591455554,-0.20695756,MIR4458HG,0.9098902591455554,0.20695756
8382,ZKSCAN3,0.9098902591455554,-0.2838404,ZKSCAN3,0.9098902591455554,0.2838404
8383,SOD2,0.9099254733856386,-0.08185399,SOD2,0.9099254733856386,0.08185399
