,0_n,0_p,0_l,1_n,1_p,1_l,8_n,8_p,8_l,9_n,9_p,9_l
9444,TRIM16,0.7174789728389963,0.105661735,C6ORF99,0.8796934354934006,-0.17870323,TMEM135,0.5148497839140244,0.8142739,LCMT1-AS1,0.9048611049212458,1.3578541
9445,TMEM86B,0.7177020227837863,-1.4411945,PDE4A,0.8797810669954892,-0.016792413,DMPK,0.5149620009527243,1.8992655,RP11-467P9.1,0.9048853463160168,1.574836
9446,SETX,0.7177354823517903,0.45702899,UROS,0.8797935859017267,0.26214525,KIAA0391,0.5149965318283597,1.5775975,INPP5A,0.9048853463160168,-1.2878716
9447,RP11-95D17.1,0.7178135567827539,-1.3289472,CD83,0.8797998453661132,0.061330356,MLKL,0.5157565152847872,-0.5642838,ZNF777,0.9049095877994253,1.3462114
9448,ILDR1,0.7178358643043969,-1.5258012,MDGA1,0.8798311428007086,0.4881289,CTB-31O20.2,0.5164738507699631,-0.021789683,WDR4,0.9049095877994253,-0.19502021
9449,RCAN1,0.7178693260379364,-1.2515777,ZSCAN32,0.8799751134171395,-0.09058086,SMCR8,0.5167332558395943,-0.030477332,ZBTB37,0.9049459501906842,0.0170443
9450,RP11-93H24.3,0.7178693260379364,-0.55905676,LCN8,0.879981373099199,0.7537157,PALD1,0.5168543346376966,1.3639568,IGLV4-69,0.904958071032065,0.9828751
9451,PIK3CA,0.7178916341609873,0.25000334,NDUFAF7,0.880000152190377,0.11690193,AMBRA1,0.5170792342500757,1.1684698,C11ORF21,0.9049823127812515,-1.1340126
9452,ZNF25,0.7182374408157557,-0.34700873,MAPKBP1,0.8801816868830992,-0.25822595,TIGD1,0.5171138386881904,0.6778154,ARRDC4,0.9049823127812515,0.8700348
9453,RAB33B,0.7183099559854518,0.1152227,MLST8,0.8802755866095423,0.3570757,LACE1,0.5172176591977251,0.70285106,WBP2NL,0.905055038560009,-0.47038954
9454,IFI44L,0.7183099559854518,-0.08231746,FUT10,0.8803319272535561,0.7564713,GBP7,0.5175638054933002,4.8702135,PKNOX1,0.9051762499605893,-0.09287266
9455,NFIX,0.7183992089080448,1.5235296,C11ORF65,0.8803444474789449,-0.6971417,PLEKHA5,0.5175811159545909,4.4569654,KLHL22,0.9052126138116892,0.31958196
9456,MNT,0.7188343719072424,0.115052335,ZP3,0.8804070490544981,-0.331375,RP11-258C19.7,0.5179447048416741,0.295521,FAM221A,0.9052126138116892,0.39201808
