,0_n,0_p,0_l,1_n,1_p,1_l,8_n,8_p,8_l,9_n,9_p,9_l
11683,MYOM2,0.9169017566037682,1.2295691,S100B,0.9506967528682695,-1.737201,CTD-2532N20.1,0.8631398715296686,1.0809647,ADGRG1,0.9582691836916951,-20.837608
11684,ZNF737,0.9169313609012455,0.13035406,DYNLRB2,0.9506967528682695,-1.6745348,PITPNM2,0.8631398715296686,0.906951,SLC27A1,0.9582691836916951,-21.17762
11685,NUP62CL,0.9170853051040813,-0.49362382,SLC13A4,0.9507093915930273,-1.4564978,RP11-756G20.1,0.8631398715296686,1.1118696,CHMP4C,0.9582691836916951,-21.621983
11686,LINC00887,0.917097147094687,-0.32461378,DSG3,0.9507093915930273,-1.6373162,CCR10,0.8631398715296686,1.2504972,RP11-277B15.3,0.9582691836916951,-20.970648
11687,ABHD1,0.917097147094687,-0.63228685,NPIPB9,0.9507093915930273,-1.4587408,MCTP1,0.8631398715296686,1.120534,C6ORF163,0.9582691836916951,-21.520794
11688,WDR5B,0.917097147094687,0.55257404,LINC00441,0.9507093915930273,-1.648083,CCDC155,0.8631398715296686,0.7731674,IGHV3-72,0.9582691836916951,-21.53457
11689,RP11-2B6.2,0.917120831131078,-0.7293946,PPP1R2P3,0.9507093915930273,-1.0795225,RP11-158H5.7,0.8631398715296686,1.0214875,CTD-2623N2.11,0.9582691836916951,-20.92522
11690,RP11-646I6.5,0.917132673176858,-0.48426256,RP11-473O4.4,0.9507093915930273,-1.592789,COPZ2,0.8631398715296686,0.730164,OAF,0.9582691836916951,-21.489782
11691,RRAGD,0.917132673176858,-0.72981954,C1QC,0.9507093915930273,-1.471117,DFNB59,0.8631398715296686,0.6729638,LINC00886,0.9582691836916951,-21.70919
11692,TMEM231,0.917144515241024,-0.39272848,RP11-226E21.4,0.9507093915930273,-1.6430244,PAPLN,0.8631398715296686,0.67206776,FSD2,0.9582691836916951,-21.7704
11693,FAM218A,0.9171563573235737,-0.44341943,ADCY9,0.9507093915930273,-1.2496654,DMGDH,0.8631398715296686,0.8058983,CAPS2,0.9582691836916951,-21.677612
11694,RASD1,0.9171563573235737,-0.36483642,CCDC168,0.9507220303301842,-1.0670239,VASH1,0.8631398715296686,0.69204944,RP4-633O19__A.1,0.9582691836916951,-21.425076
11695,ZNF449,0.9171563573235737,-0.29154575,AC010642.1,0.9507220303301842,-1.3451335,PPL,0.8631398715296686,1.1328894,DTHD1,0.9582691836916951,-20.750786
11696,TRAV36DV7,0.917191883681498,-0.19804308,GSTO2,0.9507220303301842,-1.1238496,HEATR4,0.8631398715296686,1.3431224,RP5-862P8.2,0.9582691836916951,-21.359886
11697,C6ORF52,0.917191883681498,0.06602217,RP11-218F10.3,0.9507220303301842,-1.4100144,INSL3,0.8631398715296686,0.8625143,IGHV4-59,0.9582691836916951,-21.383244
11698,IGKV1-9,0.917191883681498,-0.33742163,PTGES3L,0.9507220303301842,-0.81401557,LGR4,0.8631398715296686,0.62986207,OAZ3,0.9582691836916951,-20.555729
11699,ZBTB42,0.9172037258375558,-0.20527929,ZMYND10,0.9507220303301842,-1.6412094,Z83851.4,0.8631398715296686,0.9043943,CTSK,0.9582691836916951,-21.779224
11700,REEP6,0.9172037258375558,0.033316664,MADCAM1,0.9507220303301842,-1.2543854,KLHL11,0.8631398715296686,0.6538033,FSTL3,0.9582691836916951,-21.307074
11701,FRMPD3,0.9172274102047804,0.36807686,SFTA2,0.9507220303301842,-1.2725171,TLE6,0.8631398715296686,0.20198436,CTD-3224K15.3,0.9582691836916951,-21.627285
11702,ZNF2,0.9172510946454661,0.26439238,ZBED8,0.9507346690797374,-1.0402237,VLDLR,0.8631398715296686,0.9107101,KIR2DL3,0.9582691836916951,-20.752548
11703,ZNF577,0.9172629368933504,0.17573927,HIST1H4L,0.9507346690797374,-0.9130026,DISP2,0.8631398715296686,0.5963769,SCD5,0.9582691836916951,-20.564987
11704,PGM3,0.9174287302900779,0.5506393,CYB561,0.9507346690797374,-0.6025822,ZNF235,0.8633080923913947,-0.16145809,AC067959.1,0.9582691836916951,-21.511621
11705,PLOD3,0.9182340634506356,0.29337326,AC195454.1,0.9507346690797374,-0.87490404,LINC00662,0.863455290729541,-1.6468326,PARK2,0.9582691836916951,-21.644484
11706,OAF,0.918316970170238,2.592958,APOA1,0.9507346690797374,-0.9793328,CREBRF,0.8645909797101431,-1.1218901,PRAME,0.9582691836916951,-21.65245
11707,CAPS2,0.918316970170238,2.35949,DPY19L2,0.9507346690797374,-0.8321218,TMEM182,0.86464356469751,0.14023416,DIRC3,0.9582691836916951,-21.575603
11708,RPRML,0.918316970170238,2.4705215,CD300LF,0.9507346690797374,-0.5623659,LINC01355,0.8646540817669219,-0.029321201,KDM4D,0.9582691836916951,-21.345413
11709,HSPA1L,0.9183406579675765,-0.12659203,CH507-9B2.1,0.9507346690797374,-1.2439436,TRPM2,0.8646645988603092,0.4746196,RP5-1198O20.4,0.9582691836916951,-20.561234
11710,DIRC3,0.918399877777978,1.6860894,CTD-2313J17.6,0.9507346690797374,-1.0278383,ANKRD34A,0.8647487364702977,0.14369297,DLGAP3,0.9582691836916951,-21.57389
11711,C2ORF15,0.9185775399239269,0.17542449,IGLV1-44,0.9507346690797374,-1.3618737,MICU3,0.8647592537793802,-1.398699,B9D1,0.9582691836916951,-21.243477
11712,RP11-93G5.1,0.9186900613862304,-0.9954113,RP11-73K9.3,0.9507346690797374,-0.46249595,PLD2,0.8647908058503623,0.18695267,WNT3,0.9582691836916951,-21.393087
11713,RP11-81A22.5,0.9187255948180028,-0.8946032,RP11-16E18.3,0.9507346690797374,-0.9483373,RP11-392O17.2,0.8647908058503623,0.123807125,LINC01366,0.9582691836916951,-21.062452
11714,RP11-775C24.5,0.9187255948180028,-0.6888671,IGHV3-33,0.9507473078416834,-0.42895633,ANO10,0.864811840684111,-0.031695098,CFAP54,0.9582691836916951,-21.484833
11715,SGSM1,0.918761128412092,-0.5927535,CTB-50L17.16,0.9507473078416834,-0.84200966,HDX,0.864811840684111,-0.13954765,RAB39A,0.9582691836916951,-21.504229
11716,CITF22-92A6.1,0.918761128412092,-0.73430634,VGF,0.9507473078416834,-0.49154958,SERF1A,0.864811840684111,-0.2262765,LINC00176,0.9582691836916951,-21.051758
11717,DNM1,0.9187966621684278,-0.8136646,C15ORF53,0.9507473078416834,-0.58208334,PDGFRB,0.864811840684111,-0.34039184,RP11-557N21.1,0.9582691836916951,-21.463432
11718,RP13-977J11.2,0.9187966621684278,-0.36658618,RORC,0.9507473078416834,-0.7560389,RP11-287D1.2,0.864811840684111,-0.33391657,IGHV3-49,0.9582691836916951,-21.44249
11719,MROH6,0.9188085067899157,-0.6262881,RRS1-AS1,0.9507473078416834,-0.5564975,FBLN2,0.8648644281875386,-23.292381,C3ORF18,0.9582691836916951,-21.441038
11720,PKI55,0.9188203514294205,-0.28193608,IL1A,0.9507473078416834,-0.9280722,ZNF781,0.8648644281875386,-23.295057,IGLV3-21,0.9582691836916951,-21.408787
11721,PROB1,0.9188203514294205,0.45164877,PPT2,0.9507473078416834,-0.55127287,FXYD1,0.8650116763802589,-2.1809611,ADM2,0.9582691836916951,-21.589449
11722,SLC16A13,0.919347456086338,0.52947074,FBXL16,0.9507473078416834,-0.2511843,ABCB1,0.8653482612699226,-1.0434147,CTB-41I6.1,0.9582691836916951,-21.534908
11723,ARRDC4,0.9199279044526496,1.9647546,PAX8,0.9507473078416834,-0.98032206,LINC01473,0.8657479875482761,-1.6807197,BATF2,0.9582691836916951,-21.689621
11724,SLC28A3,0.9199279044526496,2.2380052,TIAF1,0.9507473078416834,-0.5815132,ZNF813,0.8657690267257396,-0.8562929,SPEF2,0.9582691836916951,-21.03657
11725,SEMA3D,0.9199634434969317,1.603509,CHIA,0.9507473078416834,-1.1357325,AFF1,0.8657900659983295,-1.2379198,RP11-162A12.2,0.9582691836916951,-21.584827
11726,PRR34,0.9199871362819362,1.4379985,DHFR2,0.9509242518084134,-0.08966444,SLC35E2,0.8665475430423449,0.10536488,CABYR,0.9582691836916951,-21.761692
11727,MEGF6,0.9200108291379694,1.5823596,BCLAF1,0.9509305712806004,0.091149926,RP5-906C1.1,0.8666948445016984,-0.39204043,ROBO1,0.9582691836916951,-21.096182
11728,PCAT1,0.9200226755926153,1.4305968,QKI,0.9510569613718627,0.10703446,LINC00309,0.8667158879453685,-0.25740477,ALPK2,0.9582691836916951,-21.679163
11729,OCLN,0.9201766811172518,0.15949614,FAM134C,0.9511011981948401,0.10273051,CRY2,0.8681891629190832,-1.4472036,LRFN3,0.9582691836916951,-21.26645
11730,RP11-121C2.2,0.920271455236257,-1.3166671,C12ORF73,0.9511075177532838,0.27437502,ZNF699,0.8683365156823217,-0.96057206,GPNMB,0.9582691836916951,-21.29429
11731,KLHL32,0.9203069958229151,-1.3708806,ERC1,0.9511391155916176,-0.014972205,MAP7,0.8684838730192636,1.0418985,STAP2,0.9582691836916951,-20.511822
11732,ACTG2,0.9203188427205113,-1.276152,UBQLN2,0.9511391155916176,0.13534753,QPCTL,0.8684838730192636,0.79665875,SH3RF3,0.9582691836916951,-21.72768
11733,TTC3,0.9203425365687534,0.2753115,AC006116.20,0.9511770330990184,-1.3945998,RAPGEFL1,0.8685259759548976,1.2594496,ZC3H12C,0.9582691836916951,-20.752516
11734,SPDYE1,0.9203425365687534,-1.2673168,ZYG11B,0.9512023114987006,0.05308232,NEO1,0.8685259759548976,1.0064415,CARD17,0.9582691836916951,-20.74123
11735,TMEM170B,0.9203543835193939,-1.0504962,FIRRE,0.9512023114987006,-1.3268424,RP11-188D8.1,0.8685259759548976,0.64463264,RP11-333A23.4,0.9582691836916951,-21.729834
11736,PCBP3,0.9203662304877108,-0.95684457,RBMS2,0.9512023114987006,-1.2763691,RP11-774O3.3,0.8685259759548976,0.67406654,SLC26A4,0.9582691836916951,-21.784117
11737,IGHV3-11,0.9203780774737013,-0.9745284,AL356053.1,0.9512402291902833,-1.1619835,IFT140,0.8685259759548976,1.2468944,RP11-834C11.4,0.9582691836916951,-21.5201
11738,LRG1,0.9203780774737013,-0.90314204,RP11-15J22.8,0.9512528684453472,-1.0969764,USP17L7,0.8685259759548976,0.9485372,TTC34,0.9582691836916951,-21.636055
11739,MYH7B,0.9203780774737013,-1.0742695,CCDC155,0.9512528684453472,-0.85304564,PLA2G2D,0.8685259759548976,0.88851845,TGFBR3,0.9582691836916951,-20.89609
11740,UFSP1,0.9203899244773627,-1.108605,VASH1,0.9512528684453472,-0.77641886,RP3-466P17.1,0.8685259759548976,0.30394682,KIAA1211L,0.9582691836916951,-21.203888
11741,RP11-173A6.3,0.9203899244773627,-0.852709,RP11-9M16.2,0.9512655077126742,-0.84604645,FAM167B,0.8685259759548976,0.74985445,ZSCAN20,0.9582691836916951,-21.033848
11742,LINC01146,0.9203899244773627,-0.87029153,TRIM2,0.9512781469922608,-1.0248616,UNC5CL,0.8685259759548976,0.5313902,ZFP28,0.9582691836916951,-21.815796
11743,ATP2C2,0.9203899244773627,-0.52636737,LATS2,0.9512781469922608,-0.89823437,RP11-1143G9.5,0.8685259759548976,0.73823386,LINC00266-1,0.9582691836916951,-21.553596
11744,KLHL11,0.9203899244773627,-0.63953424,PIK3R3,0.9512781469922608,-0.7800271,RFX3-AS1,0.8685259759548976,0.7793829,PLAT,0.9582691836916951,-21.268797
11745,IGKJ3,0.9204017714986925,-0.5975273,CD14,0.9512781469922608,-0.95004815,TEX22,0.8685259759548976,0.773025,SLAMF8,0.9582691836916951,-20.797207
11746,HEATR4,0.9204017714986925,-0.8097173,RNF43,0.951290786284104,-0.75122017,SLC2A14,0.8685575534013033,-1.8401991,RP11-88E10.5,0.9582691836916951,-21.372656
11747,IGLV3-9,0.9204017714986925,-0.5599762,RP11-348P10.2,0.951290786284104,-0.6758405,TGIF1,0.868652286998348,-1.1222247,CD101,0.9582691836916951,-20.953503
11748,LGR4,0.9204136185376881,-0.61010826,NRARP,0.951290786284104,-0.8868687,ZNF829,0.8687259699887029,-0.5404888,PTPN13,0.9582691836916951,-20.304539
11749,ZNF219,0.9204136185376881,-0.43536147,DFNB59,0.951290786284104,-0.6497292,CAPS,0.8688101805165486,-0.38271642,SYDE2,0.9582691836916951,-21.659615
11750,PRR22,0.9204254655943469,-0.5703852,PRR22,0.9513034255882007,-0.51962954,LINC00957,0.8688522863385977,-0.6125447,SLX1A,0.9582691836916951,-21.452698
11751,IL1RN,0.9204254655943469,-0.51378703,TRAPPC5,0.9513034255882007,-0.75059146,RGPD1,0.8700840456883346,0.37885988,SLC14A2,0.9582691836916951,-21.550625
11752,INSL3,0.9204254655943469,-0.21438792,TRIM3,0.9513034255882007,-0.58882505,SWT1,0.8701682800987083,0.3107502,STIM1,0.9583057563182271,-0.047002506
11753,TRIM3,0.9204254655943469,-0.3957053,ZNF219,0.9513160649045477,-0.43475023,THRA,0.8701682800987083,0.19388916,ECE1,0.9583667108907665,-0.2118828
11754,DFNB59,0.9204254655943469,-0.59865254,ZC3H12B,0.9513160649045477,-0.7833423,ZNF208,0.8701893389315029,0.08139333,ZNF616,0.9583667108907665,0.067686245
11755,ACSBG1,0.9204254655943469,-1.0147916,CCR10,0.9513160649045477,-0.69232875,AK1,0.8702103978563487,-0.21355464,MAPK14,0.9584276657067303,-0.08094855
11756,CHM,0.9204728539975615,0.40288138,FBXL13,0.9513160649045477,-0.76929146,ZNF404,0.8702209273532862,-23.181292,IFNAR2,0.9584886207657626,-0.020839965
11757,NOD1,0.92049654830508,0.154685,RP11-756G20.1,0.9513160649045477,-0.67647636,ZNF154,0.8703999323198437,-1.7623153,ZSCAN32,0.9586349138970307,-0.10984827
11758,THNSL1,0.9205083954853078,0.15089136,RP11-158H5.7,0.9513160649045477,-0.6077411,SMAGP,0.8706947785001935,-1.3475195,OPA1,0.9586349138970307,-0.13364999
11759,PLCB2,0.9206861053043364,0.6101618,IGKJ3,0.9513287042331416,-0.41834083,WDR81,0.8712213342136499,-0.855383,MR1,0.9586836785839424,-0.11346309
11760,DENND6A,0.9210000689919511,0.56868976,PITPNM2,0.9513287042331416,-0.5293435,KLF11,0.8721271434399699,-0.64499575,LINC00863,0.9587568259041424,-0.1678567
11761,EBLN2,0.9212133343710842,0.33393762,POMT2,0.9513287042331416,-0.28125829,TMEM25,0.8721271434399699,-0.73387307,TNFSF4,0.9588055909772315,-0.08197084
11762,GABRE,0.9213140449927302,-0.051604386,IGLV3-9,0.9513287042331416,-0.30376273,WNT10A,0.8723588890640266,-2.3797152,THNSL1,0.9588177822695971,-0.61535126
11763,RIN3,0.9213910598490045,0.5034711,KLHL11,0.9513413435739796,-0.41505814,RP11-763B22.4,0.8723588890640266,-2.1887417,NOTCH2NL,0.9588787388758436,-0.28233087
11764,RBM46,0.9215747136336105,1.2029043,RP11-351D16.3,0.9513413435739796,-0.38219333,PLEKHG7,0.8726538538819741,-0.83273274,FKBPL,0.9589275043339717,0.21819669
11765,NOMO1,0.9215984112009716,0.3737239,CTD-2532N20.1,0.9513413435739796,-0.56397563,AC061992.2,0.8736126116099978,-1.8731017,ZNF487,0.9590372271764362,0.16852148
11766,LRRC74B,0.9216102600107563,1.3563888,RP11-324E6.10,0.9513413435739796,-0.41303638,CCDC112,0.8736652959986169,-0.89839125,CLP1,0.9590738016298082,0.056356415
11767,COLEC12,0.9219361090891518,-1.9691592,FANK1,0.9513539829270582,-0.6456959,FAM83G,0.8738760391526019,1.0576472,AEN,0.9590981846465868,-0.1897228
11768,PPM1L,0.9219835064116567,-1.51202,C1ORF106,0.9513792616699249,0.17532043,MROH6,0.8738760391526019,1.0790881,GK5,0.959146950794916,-0.15816852
11769,ELMO3,0.921995355785582,-1.4955415,INSR,0.9514361390202181,0.2555609,FRS3,0.8738760391526019,0.8494789,MTUS1,0.9591713339264207,1.9554628
11770,DNAAF1,0.9220072051768217,-1.495874,RP1-148H17.1,0.9516446914190132,0.75037915,ZNF674,0.8738971139603935,0.9854864,SLC5A5,0.9591713339264207,1.8339986
11771,RP11-211N8.2,0.9220072051768217,-1.2062641,TCOF1,0.9516699707229839,0.17331138,RP11-514O12.4,0.8738971139603935,0.78718996,RELL1,0.9591713339264207,1.7463268
11772,LINC01465,0.9220190545853731,-1.3631319,C5ORF51,0.9517331691956247,0.16542517,ISPD,0.8739181888576522,0.7172103,AMOTL1,0.9591713339264207,1.8629628
11773,LHFPL4,0.9220190545853731,-1.2126327,CDC26,0.9517331691956247,0.15437615,ZNF233,0.8739181888576522,0.7419413,MYO5C,0.9591713339264207,1.7501545
11774,IGKV5-2,0.9220190545853731,-1.2516602,CTNNA1,0.9517331691956247,0.15292841,ZNF578,0.8739181888576522,0.26582178,GOLGA6L4,0.9591713339264207,1.7346594
11775,RASL10A,0.9220309040112338,-1.2717956,RP11-83B20.1,0.9517584486696999,-0.8832306,PALM2,0.8739181888576522,0.5996525,RP11-23E10.3,0.9591957170961221,1.4815681
11776,RP11-567C2.1,0.9220309040112338,-1.3985056,RP11-442N24__B.1,0.9517710884249434,-0.86278296,NATD1,0.8739181888576522,0.322363,SNUPN,0.9591957170961221,-0.073350266
11777,ROR1,0.9220309040112338,-1.3286119,CFAP44,0.9517710884249434,-0.7624113,P2RY12,0.8739181888576522,0.43878096,FBXL16,0.9591957170961221,1.6141645
11778,PHEX,0.9220427534544009,-0.59481114,RAB3B,0.9517710884249434,-0.8831763,RHOV,0.8739181888576522,0.72089684,SMIM24,0.9591957170961221,1.6807313
11779,GPER1,0.9220427534544009,-0.94727594,LRRC74B,0.9517837281923196,-0.8939431,SGSM1,0.8739181888576522,0.72567904,PPT2,0.9592201003039972,1.3831909
11780,IL5RA,0.9220427534544009,-1.4421765,HUS1B,0.9517837281923196,-0.63931197,MIR22HG,0.8739181888576522,0.68108195,IGHV3-33,0.9592201003039972,1.7118329
11781,GPR35,0.9220427534544009,-0.8725307,TMEM169,0.951809007763458,-0.627303,MANEAL,0.8739181888576522,0.56697536,RP11-34P13.7,0.9592201003039972,1.4674329
11782,ABCA3,0.9220427534544009,-0.9071936,RSAD2,0.9518216475672139,0.64610654,DNM3,0.8739181888576522,0.6895238,AC005498.3,0.9592201003039972,1.3526833
11783,LRRC46,0.9220427534544009,-0.8236286,ANKRD23,0.95183428738309,-0.7156127,RP9,0.8739708764921215,-0.96296227,RP11-16E18.3,0.9592201003039972,1.6132562
11784,CTA-398F10.2,0.9220427534544009,-0.78249234,NFKBIL1,0.9518406072955721,0.16095579,RP11-356J5.12,0.8740867912547775,-2.8923922,MST1,0.9592322919222427,1.3295525
11785,TNFSF15,0.9220427534544009,-1.2167598,KLF5,0.9518469272110831,-0.49039206,CKAP4,0.8741289427477019,-2.3617764,DPY19L2,0.9592444835500231,1.1061513
11786,FAM227A,0.9220427534544009,-0.6083733,ZNF70,0.9518469272110831,-0.31799924,ARHGAP12,0.8750985254401831,-1.4187077,AC005618.6,0.9592444835500231,1.3304031
11787,ABCA10,0.9220427534544009,-1.20069,RP11-1007O24.3,0.9518722069034077,-0.5765647,ZNF613,0.8755728462326766,-0.06074626,MSS51,0.9592444835500231,1.1121814
11788,FAM153C,0.9220427534544009,-1.0558639,KLRF1,0.9518848467677328,-0.61497635,PDK4,0.8755833872030664,-23.265924,DYNLRB2,0.9592444835500231,1.3849341
11789,RP11-526I2.5,0.9220427534544009,-0.6466083,PSPN,0.9518848467677328,-0.2814247,CAHM,0.8755833872030664,-23.133165,GSTO2,0.9592444835500231,1.1393609
11790,ARHGAP6,0.9220427534544009,-1.3235072,GRHL1,0.9518848467677328,-0.39095503,WNT16,0.8755833872030664,-23.080303,ADAM22,0.9592444835500231,1.3529795
11791,RASIP1,0.9220427534544009,-0.729144,RP11-31F15.2,0.9518974866441623,-0.44125697,RP11-246A10.1,0.8755833872030664,-23.182056,DKKL1,0.9592688668341773,1.1020788
11792,RP11-122G18.12,0.9220427534544009,-0.99082696,ZNF710,0.9518974866441623,-0.26558852,PLGLB1,0.8755833872030664,-23.078257,NPIPB9,0.9592688668341773,0.8444869
11793,BEX4,0.9221671736518828,0.38198927,AC007228.9,0.9519101265326929,-0.25322607,KCNIP2,0.8755833872030664,-23.038145,TCAP,0.9592688668341773,0.8097482
11794,RP11-350N15.5,0.9221730984707258,0.2961173,RP11-298A10.1,0.9519227664333215,-0.33277637,CEP83-AS1,0.8755939281955287,-0.38383836,TSIX,0.9592688668341773,1.1001576
11795,GPRASP1,0.9228189295453122,0.45366406,AMDHD2,0.9519227664333215,0.13934088,PIK3R6,0.8756150102466643,-0.13446017,CDC42EP2,0.9592688668341773,1.1147898
11796,ZNF239,0.9229611377335781,-0.047314916,ADHFE1,0.951935406346045,-0.2504899,RP11-407H12.8,0.8756150102466643,-0.09972936,CERCAM,0.9592688668341773,1.3204474
11797,PPARGC1B,0.9229729885271549,0.054054603,GLB1,0.9519480462708602,0.20889774,SIRPB1,0.8756150102466643,-0.50532466,NINL,0.9592688668341773,1.1105541
11798,TBC1D24,0.9230677954911052,0.13211161,PFN4,0.9519480462708602,-0.3139183,RPH3AL,0.8756150102466643,-0.28621233,MAPT,0.9592688668341773,1.312215
11799,ZNF805,0.9230796464384767,0.013356893,HIST1H4F,0.9519606862077638,0.038751952,IL3RA,0.8756150102466643,0.024520697,RP11-159D12.2,0.9592688668341773,1.3502773
11800,CTD-2095E4.5,0.9231448269541701,0.9458493,STOX1,0.9519859661178237,0.15067218,RP3-453C12.15,0.8756150102466643,-0.24412218,MADCAM1,0.959293250156437,0.8912338
11801,NBPF19,0.923198156850899,0.34151807,CRYBB2,0.9519859661178237,-0.070060454,DISP1,0.8757942112436776,-1.8939477,TMPRSS13,0.959293250156437,1.1980948
11802,ADCK1,0.9232218591380562,0.28651375,PLXND1,0.9519986060909738,-0.26379445,LOH12CR2,0.876595422859665,-1.7325187,AC010642.1,0.959293250156437,0.8075816
11803,FILIP1,0.9232337103072019,1.1437078,ZNF83,0.9520049260820773,0.1352303,MANSC1,0.8775443895885043,-0.7147695,RP11-479O9.4,0.959293250156437,0.8492168
11804,ITGA10,0.9232574126966145,1.1654702,RP11-368I7.4,0.9520112460761995,-0.28115308,ZNF841,0.8775443895885043,-0.69640815,PLEKHH3,0.959293250156437,0.9873427
11805,LAMB1,0.9232811151541712,0.019706415,TRMT10B,0.9520618061377971,0.062219545,L3MBTL1,0.8775443895885043,-0.45127523,CPT1B,0.959293250156437,0.99121326
11806,LINC00562,0.923292966408497,1.0093226,CTBS,0.9520681261590683,0.09960842,RP11-254F7.2,0.8777447495559708,-2.5493448,RP11-153I24.5,0.959293250156437,1.0561005
11807,SIRT4,0.9233285202736331,1.0546196,GORASP1,0.9520870862409682,0.118257254,ZNF879,0.8777447495559708,-2.2806578,RP11-302B13.5,0.959293250156437,0.84540874
11808,HIST4H4,0.9233285202736331,0.24536288,TNIP2,0.952169246909123,0.32616314,ZNF860,0.8788310474730151,-0.8940307,GVQW1,0.959293250156437,0.6234647
11809,STX3,0.9235892532940024,0.100916706,DENND5A,0.9521882071355421,0.31669945,PHF1,0.8788521429010595,-1.232934,RGAG4,0.959293250156437,0.8774384
11810,DYX1C1,0.9236248084335066,-2.6730268,PLOD3,0.9521945272170297,0.1113499,TMEM191B,0.878915429701181,-1.0933266,AC069277.2,0.959293250156437,0.7443884
11811,PTCHD1,0.9236248084335066,-2.6682153,LY6G5B,0.9523019690620145,-0.5088782,FBP1,0.8790103613518752,-0.23438019,SYNE4,0.959293250156437,1.0924628
11812,LINC01013,0.923642586060486,0.8377049,RABGGTB,0.952320929477653,0.13609178,KLHL9,0.8790314575105165,-0.7793781,VCAN,0.959293250156437,1.1240854
11813,HCAR3,0.9236485119446217,-2.1654458,LINC01176,0.9523778108864568,-0.5251873,TMEM169,0.8792740695039909,0.60655576,DSG3,0.959293250156437,1.1010813
11814,TERC,0.9236485119446217,-2.2972732,C10ORF53,0.9523904512324811,-0.5162432,HIST1H2AK,0.8792740695039909,0.7680281,RP4-597N16.4,0.9593176335167791,0.9116965
11815,IGLV3-10,0.9236485119446217,-1.9931686,PRH1,0.9524157319604591,-0.403013,KCTD1,0.8792951667351043,0.6658664,METTL7B,0.9593176335167791,0.7595212
11816,RP4-789D17.5,0.9236485119446217,-2.410902,SLU7,0.9524220521499365,0.14284298,CATSPER2,0.8792951667351043,-1.0562253,C5AR1,0.9593176335167791,1.0315411
11817,SLC16A14,0.9236603637256053,-2.2144067,RP11-486O12.2,0.9524283723424063,-0.37915936,RP11-147L13.12,0.879316264051916,0.60290474,PIWIL1,0.9593176335167791,0.6108561
11818,KREMEN1,0.9236603637256053,-2.0652902,WDR78,0.9524283723424063,-0.5796661,C8ORF37-AS1,0.879316264051916,0.49024996,IGHV3-30,0.9593176335167791,0.41477236
11819,TMEM56-RWDD3,0.9236603637256053,-2.1221304,ZNF285,0.9524410127363214,-0.48336738,RP11-290D2.3,0.879316264051916,0.27332422,RP11-114O18.1,0.9593176335167791,0.2631381
11820,C6ORF132,0.9236603637256053,-1.9770381,RP11-77K12.9,0.9524536531422013,-0.36259308,IGKV3-15,0.879316264051916,0.38387322,AC006129.1,0.9593176335167791,0.57706827
11821,PAQR6,0.9236603637256053,-1.5513198,YES1,0.9524662935600429,-0.3831289,KCTD21,0.879316264051916,-0.31854042,PI16,0.9593176335167791,0.24998051
11822,DUSP8,0.9236603637256053,-2.0275087,ZSCAN21,0.9525547768195912,0.5719008,HUS1B,0.879316264051916,-0.051220067,SLC13A4,0.9593176335167791,0.83995605
11823,DAAM2,0.9236603637256053,-1.6649591,RP13-494C23.1,0.9526179795059896,0.16433048,LINC01506,0.879316264051916,0.9717851,AC005224.2,0.9593176335167791,0.7605924
11824,RP11-134N1.2,0.9236603637256053,-2.1856291,MXRA7,0.9526179795059896,0.20019844,SPATA7,0.879316264051916,0.5776015,FAM222B,0.959610236803042,-0.2292639
11825,LPCAT2,0.9236603637256053,-2.1230197,SCFD2,0.9526306200790431,-0.0038078814,FMNL2,0.879316264051916,0.5716937,BET1L,0.9596468125972212,-0.15976927
11826,TSHR,0.9236603637256053,-1.9381379,DRC3,0.9526369403700389,0.21815561,RP11-803B1.8,0.879316264051916,0.4437396,TCEANC,0.9596590045474942,-0.46460328
11827,KLHL35,0.9236603637256053,-1.9788631,CH507-254M2.3,0.9526559012608982,0.3053419,RP11-589P10.5,0.8797065798525742,-0.6205689,ERCC8,0.9596955804549135,-0.216102
11828,CCDC144NL,0.923672215523536,-1.2672108,TMEM120A,0.9527443857724156,0.33621627,DNAJB9,0.880624464448385,-1.1557957,GNAQ,0.9597077724429105,1.5232817
11829,MTCP1,0.923672215523536,-1.6436542,ZNF572,0.952757026464498,-0.60787237,EME2,0.8807510818357871,0.3082638,NMRAL1,0.9598540770331226,0.0002937417
11830,USP35,0.923672215523536,-1.546555,KIF21A,0.9527696671684658,1.0606296,SH3D21,0.8807721850301545,0.25523278,SLC26A6,0.9599516141780781,0.9629087
11831,ALOX15,0.923672215523536,-1.716598,SLC29A2,0.9528707932277033,-0.4184534,C12ORF74,0.8809199097605361,0.27923238,CCDC142,0.9599638063633786,0.11456821
11832,B3GAT1,0.923672215523536,-1.2249386,AC093627.9,0.9529213565419888,-0.3340574,C5ORF17,0.8809515655991603,-23.035803,ANKRD40,0.9599759985580433,0.09210364
11833,COL1A1,0.923672215523536,-2.2399237,DDX20,0.9529403178337141,0.025818437,ENAH,0.8809515655991603,-23.233847,TMEM177,0.9599881907620692,-0.11149485
11834,PLEKHG3,0.923672215523536,-0.6853868,CTD-2035E11.5,0.9530730476210764,0.0074100415,TMEM56,0.8809515655991603,-23.086218,XPNPEP3,0.9600369596717282,-0.22758079
11835,CORO6,0.923672215523536,-0.9209693,MIATNB,0.953129932214331,0.10712953,NEK10,0.8810254299622566,-0.12893523,PXN,0.9600491519225176,0.7941907
