,8_n,8_p,8_l,9_n,9_p,9_l
181,AURKA,1.980502718672316e-27,4.9858227,AURKA,1.980502718672316e-27,-4.9858227
182,CENPE,2.4030609624197424e-27,4.733761,CENPE,2.4030609624197424e-27,-4.733761
183,MYBL2,2.4912626779899522e-27,2.3867915,MYBL2,2.4912626779899522e-27,-2.3867915
184,SGO1,2.4948567458349557e-27,2.795178,SGO1,2.4948567458349557e-27,-2.795178
185,PRC1,4.384250222186729e-27,3.6783857,PRC1,4.384250222186729e-27,-3.6783857
186,PHF19,6.718299089284338e-27,3.55575,PHF19,6.718299089284338e-27,-3.55575
187,HNRNPF,8.359310693038017e-27,1.6215353,HNRNPF,8.359310693038017e-27,-1.6215353
188,VPS29,8.787340790939416e-27,1.8616226,VPS29,8.787340790939416e-27,-1.8616226
189,COX5A,8.812445600963187e-27,1.5498979,COX5A,8.812445600963187e-27,-1.5498979
190,ENO1,1.0546093930217228e-26,1.6520333,ENO1,1.0546093930217228e-26,-1.6520333
191,CENPK,1.2962851103604115e-26,3.4754539,CENPK,1.2962851103604115e-26,-3.4754539
192,CCDC34,1.5570010582505155e-26,4.454227,CCDC34,1.5570010582505155e-26,-4.454227
193,LINC00152,1.8775818992090743e-26,3.5402136,LINC00152,1.8775818992090743e-26,-3.5402136
194,BANF1,2.3416603996293457e-26,1.7176872,BANF1,2.3416603996293457e-26,-1.7176872
195,PPM1G,2.8499792475961764e-26,1.7376094,PPM1G,2.8499792475961764e-26,-1.7376094
196,TCEB1,3.52663679675545e-26,1.7006464,TCEB1,3.52663679675545e-26,-1.7006464
197,NDUFA6,3.601986032129315e-26,2.070604,NDUFA6,3.601986032129315e-26,-2.070604
198,ZNF706,4.3868485423940667e-26,1.656529,ZNF706,4.3868485423940667e-26,-1.656529
199,PMVK,5.027849978153229e-26,1.8197708,PMVK,5.027849978153229e-26,-1.8197708
200,LTB,6.29399587684548e-26,-1.6741769,LTB,6.29399587684548e-26,1.6741769
201,CENPN,6.365003087706805e-26,3.366877,CENPN,6.365003087706805e-26,-3.366877
202,H1FX,9.146933016987933e-26,2.3545184,H1FX,9.146933016987933e-26,-2.3545184
203,ERH,1.0100827020698701e-25,1.6342309,ERH,1.0100827020698701e-25,-1.6342309
204,UQCRFS1,1.3147832037081938e-25,1.6762885,UQCRFS1,1.3147832037081938e-25,-1.6762885
205,HLA-DMA,1.3369487608682738e-25,-1.1550553,HLA-DMA,1.3369487608682738e-25,1.1550553
206,MYL6,1.620071526635797e-25,1.1673535,MYL6,1.620071526635797e-25,-1.1673535
207,ALDOA,1.6291085117778604e-25,1.5747637,ALDOA,1.6291085117778604e-25,-1.5747637
208,DRAP1,1.7294680168320284e-25,1.9400697,DRAP1,1.7294680168320284e-25,-1.9400697
209,CLIC1,2.199005044637989e-25,1.4660269,CLIC1,2.199005044637989e-25,-1.4660269
210,CYCS,2.666099039922675e-25,1.7433944,CYCS,2.666099039922675e-25,-1.7433944
211,DAZAP1,3.6641368403014072e-25,1.9745605,DAZAP1,3.6641368403014072e-25,-1.9745605
212,HIST1H1D,4.493898257479506e-25,5.418562,HIST1H1D,4.493898257479506e-25,-5.418562
213,MXD3,5.114976328153674e-25,4.1855035,MXD3,5.114976328153674e-25,-4.1855035
214,YWHAQ,5.555131304762822e-25,1.5541265,YWHAQ,5.555131304762822e-25,-1.5541265
215,PBK,6.444029773863421e-25,6.0733666,PBK,6.444029773863421e-25,-6.0733666
216,KIF11,7.597674999719032e-25,4.4011955,KIF11,7.597674999719032e-25,-4.4011955
217,H2AFJ,8.821734437995482e-25,2.945102,H2AFJ,8.821734437995482e-25,-2.945102
218,TPM3,9.153975246251336e-25,1.5638804,TPM3,9.153975246251336e-25,-1.5638804
219,EIF4A3,9.788902145865174e-25,1.9965309,EIF4A3,9.788902145865174e-25,-1.9965309
220,ILF2,2.616877571119408e-24,1.6826496,ILF2,2.616877571119408e-24,-1.6826496
221,PSMC3,3.539105346338684e-24,1.911107,PSMC3,3.539105346338684e-24,-1.911107
222,CDCA5,4.3221752970000524e-24,5.3636227,CDCA5,4.3221752970000524e-24,-5.3636227
223,KRT10,4.458391485585932e-24,1.6071353,KRT10,4.458391485585932e-24,-1.6071353
224,C19ORF48,4.7054912225653206e-24,2.35686,C19ORF48,4.7054912225653206e-24,-2.35686
225,UQCRQ,5.964035363824989e-24,1.5281422,UQCRQ,5.964035363824989e-24,-1.5281422
226,NDC80,5.99621156678631e-24,4.549474,NDC80,5.99621156678631e-24,-4.549474
227,CDCA4,6.4912733257508706e-24,2.7157369,CDCA4,6.4912733257508706e-24,-2.7157369
228,NENF,7.208382089950962e-24,2.7150526,NENF,7.208382089950962e-24,-2.7150526
229,ATP5J,7.66751101049689e-24,1.4440361,ATP5J,7.66751101049689e-24,-1.4440361
230,RNASEH2B,8.593401308834163e-24,1.9007057,RNASEH2B,8.593401308834163e-24,-1.9007057
231,SAC3D1,8.933971867263096e-24,3.6786613,SAC3D1,8.933971867263096e-24,-3.6786613
232,CKAP2L,1.5086552512376285e-23,5.623207,CKAP2L,1.5086552512376285e-23,-5.623207
233,ARL6IP1,1.568115181134952e-23,1.9261292,ARL6IP1,1.568115181134952e-23,-1.9261292
234,UFD1L,1.774894932399597e-23,2.0583773,UFD1L,1.774894932399597e-23,-2.0583773
235,CYBA,1.8595213532986883e-23,-0.60660493,CYBA,1.8595213532986883e-23,0.60660493
236,ATAD2,2.003307885826721e-23,2.7446494,ATAD2,2.003307885826721e-23,-2.7446494
237,NUDT5,2.986809498850672e-23,1.9816737,NUDT5,2.986809498850672e-23,-1.9816737
238,KIF2C,3.002673180922436e-23,29.030392,KIF2C,3.002673180922436e-23,-29.030392
239,RBX1,3.8199335586610916e-23,1.4787815,RBX1,3.8199335586610916e-23,-1.4787815
240,DCTN3,4.059201923499921e-23,1.6414169,DCTN3,4.059201923499921e-23,-1.6414169
241,PSMB9,4.1788221542945924e-23,1.5719382,PSMB9,4.1788221542945924e-23,-1.5719382
242,PA2G4,5.763719810561121e-23,1.6959367,PA2G4,5.763719810561121e-23,-1.6959367
243,NAP1L4,5.987848638576547e-23,1.873751,NAP1L4,5.987848638576547e-23,-1.873751
244,NDUFS8,7.388680449903517e-23,1.7033732,NDUFS8,7.388680449903517e-23,-1.7033732
245,ZDHHC12,1.0579515451960389e-22,2.4240282,ZDHHC12,1.0579515451960389e-22,-2.4240282
246,ITGB1BP1,1.1684446079561427e-22,1.885927,ITGB1BP1,1.1684446079561427e-22,-1.885927
247,HLA-DPA1,1.3158563273280474e-22,-0.90629166,HLA-DPA1,1.3158563273280474e-22,0.90629166
248,HIRIP3,1.417418046314445e-22,3.3937068,HIRIP3,1.417418046314445e-22,-3.3937068
249,TPGS2,1.9524201789184984e-22,1.8860961,TPGS2,1.9524201789184984e-22,-1.8860961
250,EZH2,2.1803306260462606e-22,1.9241784,EZH2,2.1803306260462606e-22,-1.9241784
251,MT2A,2.922450265093521e-22,4.6447873,MT2A,2.922450265093521e-22,-4.6447873
252,POLR2L,3.097660420827498e-22,1.5022633,POLR2L,3.097660420827498e-22,-1.5022633
253,LIG1,3.4933721984404488e-22,3.4627936,LIG1,3.4933721984404488e-22,-3.4627936
254,GUK1,3.81891696885581e-22,1.5210197,GUK1,3.81891696885581e-22,-1.5210197
255,ENY2,5.012428244233486e-22,1.5432415,ENY2,5.012428244233486e-22,-1.5432415
256,TALDO1,5.256838894570102e-22,1.5680821,TALDO1,5.256838894570102e-22,-1.5680821
257,FANCI,5.277165212152939e-22,3.548285,FANCI,5.277165212152939e-22,-3.548285
258,SRRM1,5.848840444363914e-22,1.5077785,SRRM1,5.848840444363914e-22,-1.5077785
259,RAC1,5.970323129120306e-22,1.4469934,RAC1,5.970323129120306e-22,-1.4469934
260,SMIM14,6.565460306588038e-22,-1.7709475,SMIM14,6.565460306588038e-22,1.7709475
261,CDK4,6.667350952466159e-22,2.2893,CDK4,6.667350952466159e-22,-2.2893
262,ATP5G3,7.081709826849605e-22,1.3981862,ATP5G3,7.081709826849605e-22,-1.3981862
263,CACYBP,7.746510348974081e-22,1.4930693,CACYBP,7.746510348974081e-22,-1.4930693
264,ACAT2,9.30246463345599e-22,2.7869556,ACAT2,9.30246463345599e-22,-2.7869556
265,KIFC1,1.2832428848623644e-21,5.779358,KIFC1,1.2832428848623644e-21,-5.779358
266,RFC4,1.5219690603530093e-21,3.3391922,RFC4,1.5219690603530093e-21,-3.3391922
267,POLR2H,1.6699962042287433e-21,2.080004,POLR2H,1.6699962042287433e-21,-2.080004
268,NUDT21,1.832252103383874e-21,1.6125565,NUDT21,1.832252103383874e-21,-1.6125565
269,HNRNPA3,2.043502102436688e-21,1.3589913,HNRNPA3,2.043502102436688e-21,-1.3589913
270,HLA-DMB,2.114666448826635e-21,-1.468113,HLA-DMB,2.114666448826635e-21,1.468113
271,MCM4,2.4400733593543835e-21,3.4386628,MCM4,2.4400733593543835e-21,-3.4386628
272,TIMM10,2.6525591183675602e-21,1.6782527,TIMM10,2.6525591183675602e-21,-1.6782527
273,RAD51AP1,2.8149342637609618e-21,3.8263786,RAD51AP1,2.8149342637609618e-21,-3.8263786
274,MPC2,2.865174746435315e-21,1.4742305,MPC2,2.865174746435315e-21,-1.4742305
275,UBE2A,3.4146899404651756e-21,1.5783602,UBE2A,3.4146899404651756e-21,-1.5783602
276,ARHGAP11B,3.655234040440995e-21,2.5270865,ARHGAP11B,3.655234040440995e-21,-2.5270865
277,CD53,5.1592689290168395e-21,-0.70843244,CD53,5.1592689290168395e-21,0.70843244
278,DLGAP5,6.621247661214621e-21,5.4407554,DLGAP5,6.621247661214621e-21,-5.4407554
279,NDUFS6,7.391959501439694e-21,1.4916594,NDUFS6,7.391959501439694e-21,-1.4916594
280,CIB1,8.61988314208168e-21,1.652291,CIB1,8.61988314208168e-21,-1.652291
281,IFI16,8.804748280172597e-21,1.5087789,IFI16,8.804748280172597e-21,-1.5087789
282,TMEM14B,9.348150295064607e-21,1.4968538,TMEM14B,9.348150295064607e-21,-1.4968538
