,scNym_confidence
1102,0.6569484
1103,0.7876705
1104,0.8550979
1105,0.84543645
1106,0.77614534
1107,0.72221327
1108,0.8352842
1109,0.7779391
1110,0.7679735
1111,0.7293088
1112,0.79078937
1113,0.82464993
1114,0.83435065
1115,0.7715101
1116,0.78817886
1117,0.7682186
1118,0.7813905
1119,0.8225326
1120,0.7507666
1121,0.6676352
1122,0.7850978
1123,0.7904815
1124,0.7685366
1125,0.6895954
1126,0.7657452
1127,0.63152164
1128,0.83474135
1129,0.8645441
1130,0.8218602
1131,0.7261131
1132,0.7769834
1133,0.7778468
1134,0.7022184
1135,0.76605844
1136,0.796507
1137,0.79148185
1138,0.6449213
1139,0.80367595
1140,0.6366443
1141,0.8032786
1142,0.77832925
1143,0.80328053
1144,0.8076591
1145,0.7969667
1146,0.81010693
1147,0.81833756
1148,0.7205682
1149,0.6748165
1150,0.78969395
1151,0.74156594
1152,0.7437513
1153,0.82211304
1154,0.7871888
1155,0.7382122
1156,0.7266136
1157,0.8274322
1158,0.7224872
1159,0.6606648
1160,0.5313729
1161,0.76636404
1162,0.6643604
1163,0.74406165
1164,0.7684091
1165,0.78289384
1166,0.8459984
1167,0.74849856
1168,0.71571916
1169,0.7542939
1170,0.81114835
1171,0.68151283
1172,0.7700484
1173,0.711624
1174,0.77553326
1175,0.69188356
1176,0.7038596
1177,0.7905015
1178,0.82563317
1179,0.66167057
1180,0.8150968
1181,0.7971716
1182,0.7828699
1183,0.8123256
1184,0.81517184
1185,0.79206175
1186,0.81467986
1187,0.6494462
1188,0.6085077
1189,0.7705987
1190,0.77873975
1191,0.7156229
1192,0.77857596
1193,0.8096482
1194,0.7652027
1195,0.7411368
1196,0.72908694
1197,0.7834531
1198,0.76154065
1199,0.7732726
1200,0.7770235
1201,0.7624397
1202,0.7434763
1203,0.57418984
1204,0.80251014
1205,0.8289543
1206,0.766909
1207,0.7773133
1208,0.76225203
1209,0.8150599
1210,0.7321986
1211,0.777228
1212,0.7622908
1213,0.77634925
1214,0.8586636
1215,0.8063648
1216,0.8410172
1217,0.80478877
1218,0.8149006
1219,0.58384186
1220,0.7691753
1221,0.74671006
1222,0.7947537
1223,0.7813764
1224,0.7837938
1225,0.8878667
1226,0.82114005
1227,0.6409056
1228,0.7730348
1229,0.7420395
1230,0.7360244
1231,0.79880273
1232,0.76758164
1233,0.81645274
1234,0.7906516
1235,0.77733225
1236,0.69614905
1237,0.79858065
1238,0.6433445
1239,0.8032887
1240,0.54036885
1241,0.7884631
1242,0.75275636
1243,0.6493387
1244,0.79579735
1245,0.7939147
1246,0.8016886
1247,0.75548255
1248,0.75156957
1249,0.8130026
1250,0.749112
1251,0.7478334
1252,0.78391165
1253,0.6145263
1254,0.8122421
1255,0.8047854
1256,0.7253849
1257,0.87809956
1258,0.74726856
1259,0.79434377
1260,0.7879278
1261,0.80206925
1262,0.67873937
1263,0.81644225
1264,0.7990476
1265,0.854999
1266,0.82461095
1267,0.6433328
1268,0.57508844
1269,0.71583974
1270,0.76931137
1271,0.76229614
1272,0.69377273
1273,0.79740876
1274,0.84213775
1275,0.7158257
1276,0.68050116
1277,0.6691569
1278,0.6664929
1279,0.8317355
1280,0.67272353
1281,0.8336672
1282,0.84209454
1283,0.81308323
1284,0.67591923
1285,0.7350687
1286,0.6670271
1287,0.8013696
1288,0.7181674
1289,0.79567385
1290,0.77621907
1291,0.81260204
1292,0.6920188
1293,0.7350586
1294,0.8096393
1295,0.83769923
1296,0.72062975
1297,0.76488763
1298,0.8117227
1299,0.7831131
1300,0.61441356
1301,0.8043471
1302,0.84688854
1303,0.76327956
1304,0.7711071
1305,0.71237046
1306,0.67678905
1307,0.7956692
1308,0.64130783
1309,0.832062
1310,0.7033024
1311,0.7443147
1312,0.8219677
1313,0.78210944
1314,0.796515
1315,0.7759532
1316,0.79073894
1317,0.75759894
1318,0.7631586
1319,0.6337302
1320,0.77150005
1321,0.64851695
1322,0.693113
1323,0.6806666
1324,0.7425588
1325,0.78074557
1326,0.76955193
