"","x"
"1237",1
"1238",7
"1239",2
"1240",1
"1241",1
"1242",1
"1243",0
"1244",0
"1245",0
"1246",3
"1247",0
"1248",2
"1249",1
"1250",1
"1251",3
"1252",8
"1253",2
"1254",5
"1255",3
"1256",3
"1257",3
"1258",0
"1259",1
"1260",6
"1261",5
"1262",8
"1263",0
"1264",0
"1265",7
"1266",8
"1267",4
"1268",5
"1269",8
"1270",0
"1271",4
"1272",0
"1273",0
"1274",2
"1275",3
"1276",5
"1277",8
"1278",3
"1279",0
"1280",2
"1281",2
"1282",1
"1283",6
"1284",3
"1285",3
"1286",0
"1287",7
"1288",3
"1289",0
"1290",0
"1291",2
"1292",7
"1293",6
"1294",6
"1295",1
"1296",0
"1297",0
"1298",0
"1299",6
"1300",1
"1301",5
"1302",1
"1303",1
"1304",5
"1305",2
"1306",0
"1307",0
"1308",6
"1309",7
"1310",5
"1311",4
"1312",5
"1313",7
"1314",7
"1315",2
"1316",6
"1317",7
"1318",2
"1319",5
"1320",0
"1321",6
"1322",2
"1323",0
"1324",6
"1325",1
"1326",4
"1327",2
"1328",0
"1329",1
"1330",8
"1331",1
"1332",5
"1333",2
"1334",1
"1335",3
"1336",4
"1337",7
"1338",8
"1339",7
"1340",8
"1341",1
"1342",5
"1343",3
"1344",6
"1345",2
"1346",7
"1347",3
"1348",5
"1349",2
"1350",2
"1351",7
"1352",4
"1353",3
"1354",7
"1355",2
"1356",2
"1357",0
"1358",3
"1359",4
"1360",1
"1361",1
"1362",7
"1363",0
"1364",5
"1365",8
"1366",7
"1367",1
"1368",0
"1369",7
"1370",4
"1371",3
"1372",4
"1373",1
"1374",5
"1375",6
"1376",1
"1377",1
"1378",3
"1379",4
"1380",0
"1381",8
"1382",4
"1383",3
"1384",1
"1385",5
"1386",7
"1387",0
"1388",4
"1389",1
"1390",8
"1391",0
"1392",5
"1393",6
"1394",1
"1395",7
"1396",2
"1397",6
"1398",3
"1399",1
"1400",8
"1401",1
"1402",6
"1403",4
"1404",7
"1405",1
"1406",4
"1407",0
"1408",4
"1409",2
"1410",3
"1411",0
"1412",7
"1413",7
"1414",3
"1415",3
"1416",7
"1417",2
"1418",0
"1419",6
"1420",8
"1421",0
"1422",7
"1423",1
"1424",4
"1425",6
"1426",3
"1427",2
"1428",6
"1429",1
"1430",0
"1431",8
"1432",0
"1433",0
"1434",0
"1435",4
"1436",2
"1437",3
"1438",7
"1439",0
"1440",0
"1441",4
"1442",0
"1443",1
"1444",4
"1445",5
"1446",2
"1447",2
"1448",2
"1449",3
"1450",0
"1451",1
"1452",1
"1453",6
"1454",5
"1455",3
"1456",1
"1457",3
"1458",7
"1459",3
"1460",0
"1461",1
"1462",4
"1463",5
"1464",1
"1465",3
"1466",6
"1467",3
"1468",8
"1469",0
"1470",1
"1471",0
"1472",7
"1473",0
"1474",0
"1475",4
"1476",0
"1477",4
"1478",4
"1479",4
"1480",0
"1481",3
"1482",7
"1483",4
"1484",7
"1485",0
"1486",3
"1487",0
"1488",3
"1489",7
"1490",7
"1491",4
"1492",0
"1493",6
"1494",5
"1495",5
"1496",1
"1497",3
"1498",1
"1499",3
"1500",5
"1501",4
"1502",4
"1503",2
"1504",1
"1505",0
"1506",4
"1507",1
"1508",2
"1509",1
"1510",7
"1511",2
"1512",3
"1513",1
"1514",2
"1515",2
"1516",3
"1517",1
"1518",3
"1519",1
"1520",0
"1521",3
"1522",3
"1523",1
"1524",2
"1525",3
"1526",6
"1527",1
"1528",7
"1529",4
"1530",0
"1531",3
"1532",2
"1533",3
"1534",6
"1535",7
"1536",1
"1537",3
"1538",2
"1539",8
"1540",1
"1541",4
"1542",7
"1543",2
"1544",0
"1545",0
"1546",8
"1547",6
"1548",0
"1549",2
"1550",3
"1551",0
"1552",3
"1553",7
"1554",1
"1555",2
"1556",0
"1557",5
"1558",0
"1559",8
"1560",2
"1561",6
"1562",8
"1563",6
"1564",1
"1565",4
"1566",5
"1567",2
"1568",4
"1569",1
"1570",4
"1571",3
"1572",1
"1573",4
"1574",5
"1575",0
"1576",1
"1577",6
"1578",7
"1579",1
"1580",4
"1581",0
"1582",6
"1583",6
"1584",2
"1585",1
"1586",4
"1587",1
"1588",3
"1589",6
"1590",0
"1591",1
"1592",4
"1593",6
"1594",5
"1595",5
"1596",0
"1597",0
"1598",3
"1599",0
"1600",8
"1601",5
"1602",3
"1603",3
"1604",0
"1605",4
"1606",3
"1607",1
"1608",3
"1609",2
"1610",5
"1611",4
"1612",4
"1613",6
"1614",3
"1615",4
"1616",5
"1617",5
"1618",5
"1619",2
"1620",5
"1621",1
"1622",8
"1623",4
"1624",4
"1625",1
"1626",4
"1627",2
"1628",1
"1629",1
"1630",8
"1631",2
"1632",5
"1633",1
"1634",7
"1635",6
"1636",6
"1637",5
"1638",3
"1639",0
"1640",1
"1641",1
"1642",2
"1643",2
"1644",6
"1645",0
"1646",8
"1647",5
"1648",1
"1649",7
"1650",0
"1651",0
"1652",7
"1653",5
"1654",3
"1655",8
"1656",3
"1657",0
"1658",1
"1659",1
"1660",5
"1661",0
"1662",2
"1663",6
"1664",1
"1665",1
"1666",3
"1667",4
"1668",0
"1669",1
"1670",2
"1671",4
"1672",6
"1673",2
"1674",7
"1675",1
"1676",2
"1677",0
"1678",8
"1679",6
"1680",1
"1681",3
"1682",3
"1683",5
"1684",7
"1685",4
"1686",2
"1687",1
"1688",5
"1689",0
"1690",1
"1691",1
"1692",7
"1693",3
"1694",2
"1695",5
"1696",2
"1697",7
"1698",5
"1699",7
"1700",0
"1701",5
"1702",8
"1703",7
"1704",1
"1705",4
"1706",3
"1707",2
"1708",2
"1709",1
"1710",2
"1711",1
"1712",8
"1713",1
"1714",2
"1715",1
"1716",1
"1717",0
"1718",2
"1719",0
"1720",5
"1721",3
"1722",0
"1723",4
"1724",0
"1725",5
"1726",0
"1727",7
"1728",0
"1729",5
"1730",4
"1731",6
"1732",1
"1733",5
"1734",4
"1735",1
"1736",0
"1737",2
"1738",2
"1739",0
"1740",0
"1741",1
"1742",3
"1743",3
"1744",4
"1745",1
"1746",3
"1747",5
