"","UMAP_1","UMAP_2"
"130736318175006_1",3.97574748033604,2.4831439762681
"130736319053099_1",-2.12173818117061,6.04544275098734
"130736333437661_1",-6.64694367414394,6.91328876310281
"130736345541492_1",-1.99161158567348,-0.407581636372284
"130736346326763_1",-6.58472882276455,7.07769458585672
"130736364828982_1",-1.77359138494411,8.79552905851297
"130736364874091_1",-0.722448334750327,7.88181178861551
"130736365098725_1",-5.6535998440353,5.24099080854349
"130754438383854_1",-2.40860186582485,0.0793037920563662
"130754452314845_1",-9.14860402112881,-4.01521236604758
"130754452338548_1",-1.81167875295559,8.17640321546487
"130754453130653_1",0.982590451184122,7.6964680462449
"130754465717484_1",-7.28376208311001,-0.400436350765899
"130754484262749_1",2.62416543001255,3.92827313238077
"130761014500084_1",-8.41062460904995,-4.33900768465109
"130761015061413_1",1.17954958910069,4.4725615292161
"130761015081308_1",-2.9747840023605,2.61087410741739
